content_id,content_name,content_type_id,subcat_slug,slug,url
5000264,dailydose_news,61,NULL,NULL,/dailydose/2013/2/25/red_wine_could_protect_against_hearing_loss/
5000265,dailydose_news,61,NULL,NULL,/dailydose/2013/2/25/can_human_sweat_be_used_to_fight_superbugs_and_tb/
5000266,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/2/25/why_snacking_at_night_is_bad_for_you/
5000267,dailydose_news,61,osteoporosis,osteoporosis,/dailydose/2013/2/26/vitamin_d_calcium_may_not_prevent_fractures/
5000268,dailydose_news,61,sleep-disorders,sleep-disorders,/dailydose/2013/2/26/poor_sleep_can_alter_body_chemistry/
5000269,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/2/26/mediterranean_diet_improves_heart_health/
5000271,dailydose_news,61,allergy,allergy,/dailydose/2013/2/27/c_section_increases_allergy_risk/
5000272,dailydose_news,61,breast-cancer,breast-cancer,/dailydose/2013/2/27/breast_cancer_cases_increase_in_young_women/
5000273,dailydose_news,61,high-blood-pressure,high-blood-pressure,/dailydose/2013/2/27/gut_bacteria_could_affect_blood_pressure/
5000274,dailydose_news,61,alzheimers,alzheimers,/dailydose/2013/2/28/soccer_headers_could_cause_brain_injury/
5000275,dailydose_news,61,heart-disease,heart-disease,/dailydose/2013/2/28/sibling_s_death_increases_heart_attack_risk/
5000276,dailydose_news,61,incontinence,incontinence,/dailydose/2013/2/28/new_mobile_app_tests_urine_for_disease/
5000277,dailydose_news,61,sleep-disorders,sleep-disorders,/dailydose/2013/3/1/sleepwalking_affects_daytime_health/
5000278,dailydose_news,61,NULL,NULL,/dailydose/2013/3/1/video_games_hone_surgical_accuracy/
5000279,dailydose_news,61,depression,depression,/dailydose/2013/3/1/pessimists_have_a_happier_future/
5000287,dailydose_news,61,skin-cancer,skin-cancer,/dailydose/2013/3/4/fat_gene_linked_with_melanoma/
5000288,dailydose_news,61,NULL,NULL,/dailydose/2013/3/4/doctors_successfully_cure_hiv_in_child/
5000289,dailydose_news,61,NULL,NULL,/dailydose/2013/3/4/pregnancy_permanently_changes_foot_size/
5000290,dailydose_news,61,adhd,adhd,/dailydose/2013/3/5/adhd_more_than_just_a_children_s_disease/
5000291,dailydose_news,61,prostate,prostate,/dailydose/2013/3/5/skin_patch_developed_for_prostate_cancer/
5000292,dailydose_news,61,NULL,NULL,/dailydose/2013/3/5/omega_3s_lead_to_healthier_babies/
5000293,dailydose_news,61,NULL,NULL,/dailydose/2013/3/6/life_expectancy_declining_for_some_american_women/
5000294,dailydose_news,61,diabetes,diabetes,/dailydose/2013/3/6/sitting_less_reduces_type_2_diabetes_risk/
5000295,dailydose_news,61,sleep-disorders,sleep-disorders,/dailydose/2013/3/6/poor_sleep_linked_to_heart_failure/
5000296,dailydose_news,61,multiple-sclerosis,multiple-sclerosis,/dailydose/2013/3/7/too_much_salt_may_lead_to_autoimmune_diseases/
5000297,dailydose_news,61,heart-disease,heart-disease,/dailydose/2013/3/7/processed_meats_could_lead_to_early_death/
5000298,dailydose_news,61,obesity,obesity,/dailydose/2013/3/7/west_virginia_fattest_state_in_the_u_s/
5000299,dailydose_news,61,adhd,adhd,/dailydose/2013/3/8/short_bouts_of_exercise_might_boost_self_control/
5000300,dailydose_news,61,alzheimers,alzheimers,/dailydose/2013/3/8/forgetting_first_words_in_a_list_may_be_sign_of_mental_decline/
5000301,dailydose_news,61,NULL,NULL,/dailydose/2013/3/8/mice_get_smarter_with_human_brain_cell_transplants/
5000305,dailydose_news,61,alzheimers,alzheimers,/dailydose/2013/3/11/blood_test_for_alzheimer_s_on_horizon/
5000306,dailydose_news,61,depression,depression,/dailydose/2013/3/11/brainwaves_guide_a_new_meditation_app/
5000307,dailydose_news,61,heart-disease,heart-disease,/dailydose/2013/3/11/heart_disease_found_in_mummies/
5000312,dailydose_news,61,NULL,NULL,/dailydose/2013/3/12/uk_researchers_grow_human_tooth/
5000313,dailydose_news,61,obesity,obesity,/dailydose/2013/3/12/nyc_big_soda_ban_blocked/
5000314,dailydose_news,61,sleep-disorders,sleep-disorders,/dailydose/2013/3/12/short_sleep_causes_overeating/
5000315,dailydose_news,61,NULL,NULL,/dailydose/2013/3/13/florida_poised_for_mosquito_infestation/
5000316,dailydose_news,61,alzheimers,alzheimers,/dailydose/2013/3/13/lifelong_activity_improves_adult_memory/
